aggregated	self	category	text
99.19%	0.00%	1	b	enj enjoying it
99.19%	0.00%	1	br	two hours where
99.20%	0.00%	1	b	ooh yes
99.20%	0.00%	1	b	good self help
99.20%	0.00%	1	b^m	h o i
99.20%	0.00%	1	b	oh does
99.20%	0.00%	1	bh	boston
99.21%	0.00%	1	b^m	for southwest
99.21%	0.00%	1	bk	hm okay
99.21%	0.00%	1	ba	uh oh jeez
99.21%	0.00%	1	b^m	she 's perfect
99.22%	0.00%	1	b^m	choirs
99.22%	0.00%	1	ba	they 're great
99.22%	0.00%	1	ba	and good luck
99.22%	0.00%	1	b^m	one rotten cat
99.22%	0.00%	1	b^m	very few
99.23%	0.00%	1	b	uh-huh well
99.23%	0.00%	1	bk	well okay uh
99.23%	0.00%	1	b^m	frank e
99.23%	0.00%	1	ba	how marvel
99.24%	0.00%	1	ba	oh go-
99.24%	0.00%	1	bk	oh i
99.24%	0.00%	1	b	food
99.24%	0.00%	1	bh	brisket
99.24%	0.00%	1	bf	large classes
99.25%	0.00%	1	bd	just sometimes
99.25%	0.00%	1	br	hm
99.25%	0.00%	1	ba	well i declare
99.25%	0.00%	1	bf	so your wife
99.26%	0.00%	1	ba	hey oh
99.26%	0.00%	1	b	that happens
99.26%	0.00%	1	ba	how wonderful
99.26%	0.00%	1	b^m	antibeach
99.26%	0.00%	1	b	you think
99.27%	0.00%	1	ba	boy he is
99.27%	0.00%	1	ba	oh how exiting
99.27%	0.00%	1	b^m	vermont
99.27%	0.00%	1	b	you are
99.28%	0.00%	1	br	the pitching coach
99.28%	0.00%	1	ba	that 's encouraging
99.28%	0.00%	1	b^m	just eight years
99.28%	0.00%	1	ba	oh gee-whiz
99.28%	0.00%	1	b^m	johnson city
99.29%	0.00%	1	b	cuddle up uh-huh
99.29%	0.00%	1	b	good to hear
99.29%	0.00%	1	br	rolly polly what
99.29%	0.00%	1	b	you know really
99.30%	0.00%	1	b^m	any day now
99.30%	0.00%	1	bf	it was fun
99.30%	0.00%	1	ba	uh oh golly
99.30%	0.00%	1	ba	a-cha
99.30%	0.00%	1	b	yea-
99.31%	0.00%	1	b^m	pink
99.31%	0.00%	1	bd	you 're okay
99.31%	0.00%	1	br	galveston
99.31%	0.00%	1	ba	how sad
99.32%	0.00%	1	b^m	dutch irises
99.32%	0.00%	1	br	uh pardon
99.32%	0.00%	1	ba	um how weird
99.32%	0.00%	1	b^m	our movie stars
99.32%	0.00%	1	ba	holy mackerel
99.33%	0.00%	1	ba	oh no doubt
99.33%	0.00%	1	b	yes oh
99.33%	0.00%	1	bh	three
99.33%	0.00%	1	br	you you what
99.34%	0.00%	1	b	hit the bags
99.34%	0.00%	1	b^m	okay um
99.34%	0.00%	1	b	or right
99.34%	0.00%	1	bf	oh you 're
99.34%	0.00%	1	b^m	not originally
99.35%	0.00%	1	b	fine
99.35%	0.00%	1	bf	right down there
99.35%	0.00%	1	bf	telephone
99.35%	0.00%	1	ba	oh my heavens
99.36%	0.00%	1	b^m	grass
99.36%	0.00%	1	bf	earlier things
99.36%	0.00%	1	bf	a
99.36%	0.00%	1	br	in our country
99.36%	0.00%	1	bk	oh garland texas
99.37%	0.00%	1	b	and cheap
99.37%	0.00%	1	bh	can you really
99.37%	0.00%	1	bf	our own hemisphere
99.37%	0.00%	1	bk	you did
99.38%	0.00%	1	ba	um oh god
99.38%	0.00%	1	b^m	home school
99.38%	0.00%	1	bk	b y u
99.38%	0.00%	1	b^m	not
99.38%	0.00%	1	b^m	eighty-six
99.39%	0.00%	1	ba	it certainly does
99.39%	0.00%	1	ba	what a treat
99.39%	0.00%	1	b^m	baby
99.39%	0.00%	1	ba	not fun
99.40%	0.00%	1	b^m	one parent
99.40%	0.00%	1	b^m	not quite huh
99.40%	0.00%	1	bh	do n't they
99.40%	0.00%	1	bf	it would
99.40%	0.00%	1	ba	that 's hard
99.41%	0.00%	1	bf	everybody but you
99.41%	0.00%	1	bk	okay bill
99.41%	0.00%	1	ba	really wow
99.41%	0.00%	1	br	my voting experience
99.42%	0.00%	1	bh	oh has he
99.42%	0.00%	1	b^m	off and on
99.42%	0.00%	1	b	oh yea-
99.42%	0.00%	1	ba	i see uh
99.42%	0.00%	1	bk	o- okay
99.43%	0.00%	1	b^m	physics
99.43%	0.00%	1	bf	at least
99.43%	0.00%	1	ba	they do
99.43%	0.00%	1	ba	but golly
99.44%	0.00%	1	b^m	a mutt
99.44%	0.00%	1	bk	linda
99.44%	0.00%	1	br	that 's north
99.44%	0.00%	1	br	ninety-eight
99.44%	0.00%	1	b	oh did you
99.45%	0.00%	1	b	oh boy
99.45%	0.00%	1	b^m	stay
99.45%	0.00%	1	bf	chris xeros
99.45%	0.00%	1	bf	what is what
99.46%	0.00%	1	ba	oh pretty ones
99.46%	0.00%	1	b^m	agree
99.46%	0.00%	1	ba	that 's fantastic
99.46%	0.00%	1	ba	sure you do
99.46%	0.00%	1	b	mumblex oh uh-huh
99.47%	0.00%	1	b^m	wild flowers
99.47%	0.00%	1	b^m	e d p
99.47%	0.00%	1	b	but uh
99.47%	0.00%	1	ba	that works
99.48%	0.00%	1	br	heavenly
99.48%	0.00%	1	b	public school
99.48%	0.00%	1	bh	is n't that
99.48%	0.00%	1	b^m	the restaurant ha-
99.48%	0.00%	1	b	and um yeah
99.49%	0.00%	1	bk	w- yeah
99.49%	0.00%	1	b^m	the legend
99.49%	0.00%	1	br	oh a what
99.49%	0.00%	1	b	i guess
99.50%	0.00%	1	ba	that 's frustrating
99.50%	0.00%	1	b^m	arlington
99.50%	0.00%	1	b^m	two dogs
99.50%	0.00%	1	b^m	six foot
99.51%	0.00%	1	b^m	two kids
99.51%	0.00%	1	b^m	two boys
99.51%	0.00%	1	b	it 's uh
99.51%	0.00%	1	bf	fluid resistance
99.51%	0.00%	1	b	but yes
99.52%	0.00%	1	ba	sounds interesting uh-huh
99.52%	0.00%	1	b^m	flower mound
99.52%	0.00%	1	ba	oh terrible
99.52%	0.00%	1	b^m	but um yeah
99.53%	0.00%	1	ba	that 's re-
99.53%	0.00%	1	ba	oh mother macree
99.53%	0.00%	1	ba	thank you
99.53%	0.00%	1	b	okay oh
99.53%	0.00%	1	b^m	oh corpus
99.54%	0.00%	1	ba	well that helps
99.54%	0.00%	1	br	where
99.54%	0.00%	1	ba	super
99.54%	0.00%	1	ba	they are
99.55%	0.00%	1	b	that bad huh
99.55%	0.00%	1	bf	oh of everything
99.55%	0.00%	1	b^m	gary gilmore
99.55%	0.00%	1	ba	aye aye aye
99.55%	0.00%	1	bf	type of thing
99.56%	0.00%	1	b	the other world
99.56%	0.00%	1	bf	many years
99.56%	0.00%	1	bf	people
99.56%	0.00%	1	ba	fantastic uh
99.57%	0.00%	1	br	have i
99.57%	0.00%	1	bf	you become callous
99.57%	0.00%	1	b	well uh okay
99.57%	0.00%	1	ba	oh okay great
99.57%	0.00%	1	b^m	texas aqua-
99.58%	0.00%	1	bf	the defect
99.58%	0.00%	1	b^m	you 're crazy
99.58%	0.00%	1	ba	good job
99.58%	0.00%	1	ba	sure did
99.59%	0.00%	1	b	schedule vacation time
99.59%	0.00%	1	ba	oh those people
99.59%	0.00%	1	bf	everybody got excited
99.59%	0.00%	1	ba	my golly
99.59%	0.00%	1	b	then right
99.60%	0.00%	1	bh	blue
99.60%	0.00%	1	ba	crazy
99.60%	0.00%	1	b	that one
99.60%	0.00%	1	b	you did
99.61%	0.00%	1	b^m	um
99.61%	0.00%	1	bf	i see
99.61%	0.00%	1	b^m	but uh yeah
99.61%	0.00%	1	ba	uh good
99.61%	0.00%	1	bf	unfair or something
99.62%	0.00%	1	ba	oh lovely
99.62%	0.00%	1	b^m	a white powder
99.62%	0.00%	1	ba	i would say
99.62%	0.00%	1	bf	you are
99.63%	0.00%	1	b	ha
99.63%	0.00%	1	b^m	mission impossible
99.63%	0.00%	1	b	hey
99.63%	0.00%	1	bf	skip this tournament
99.63%	0.00%	1	b	yeah apparently
99.64%	0.00%	1	bh	you are
99.64%	0.00%	1	ba	oh incredible
99.64%	0.00%	1	b	your dress
99.64%	0.00%	1	br	robert de niro
99.65%	0.00%	1	br	two hundred fifty
99.65%	0.00%	1	b^m	technical
99.65%	0.00%	1	b^m	twenty-eight
99.65%	0.00%	1	ba	exact- exactly
99.65%	0.00%	1	b^m	no slacks
99.66%	0.00%	1	ba	what
99.66%	0.00%	1	bf	she
99.66%	0.00%	1	bh	and uh
99.66%	0.00%	1	b^m	jack
99.67%	0.00%	1	bf	a whole fam-
99.67%	0.00%	1	b^m	pick up
99.67%	0.00%	1	b	oh really oh
99.67%	0.00%	1	b	i guess yeah
99.67%	0.00%	1	b^m	emmett smith
99.68%	0.00%	1	b^m	four boys
99.68%	0.00%	1	br	you what
99.68%	0.00%	1	ba	my goodness uh
99.68%	0.00%	1	ba	shoot
99.69%	0.00%	1	bh	do you think
99.69%	0.00%	1	bf	the greatest hits
99.69%	0.00%	1	bf	only work initially
99.69%	0.00%	1	ba	oh warm
99.69%	0.00%	1	b	well really
99.70%	0.00%	1	br	yes
99.70%	0.00%	1	b^m	work ethics oh
99.70%	0.00%	1	ba	i mean boy
99.70%	0.00%	1	b	oh they are
99.71%	0.00%	1	bf	arlington area
99.71%	0.00%	1	b	true
99.71%	0.00%	1	bf	they are tough
99.71%	0.00%	1	b^m	hem- hormones
99.71%	0.00%	1	ba	aye
99.72%	0.00%	1	bk	i i see
99.72%	0.00%	1	bh	oh did it
99.72%	0.00%	1	ba	boy oh boy
99.72%	0.00%	1	b^m	oh fajitas
99.73%	0.00%	1	b	i know it
99.73%	0.00%	1	ba	that will happen
99.73%	0.00%	1	br	oh you can
99.73%	0.00%	1	bf	and cans laying
99.73%	0.00%	1	bh	oh does she
99.74%	0.00%	1	ba	oh wow gosh
99.74%	0.00%	1	bf	no
99.74%	0.00%	1	b^m	families
99.74%	0.00%	1	ba	real good idea
99.75%	0.00%	1	b	it may be
99.75%	0.00%	1	b^m	folk music
99.75%	0.00%	1	ba	oh my uh-huh
99.75%	0.00%	1	bf	it 's not
99.75%	0.00%	1	ba	gosh twelve
99.76%	0.00%	1	br	tahiti
99.76%	0.00%	1	ba	okay
99.76%	0.00%	1	b^m	five bedrooms
99.76%	0.00%	1	b^m	the most expensive
99.77%	0.00%	1	ba	ooh how great
99.77%	0.00%	1	b^m	joey
99.77%	0.00%	1	ba	that was smart
99.77%	0.00%	1	bf	rather than
99.77%	0.00%	1	bh	a switcheroo huh
99.78%	0.00%	1	b	oh serious
99.78%	0.00%	1	b^m	home cooked tex-mex
99.78%	0.00%	1	b	uh-huh uh-huh
99.78%	0.00%	1	br	pittsburgh
99.79%	0.00%	1	b	all righty
99.79%	0.00%	1	b	huh okay
99.79%	0.00%	1	b	mumblex
99.79%	0.00%	1	ba	probably so
99.79%	0.00%	1	b	and uh no
99.80%	0.00%	1	bh	oh he does
99.80%	0.00%	1	ba	that 's not
99.80%	0.00%	1	b	already
99.80%	0.00%	1	ba	well how fun
99.81%	0.00%	1	bf	control
99.81%	0.00%	1	ba	but my goodness
99.81%	0.00%	1	ba	but gee
99.81%	0.00%	1	ba	oh oh dear
99.81%	0.00%	1	ba	sure is neat
99.82%	0.00%	1	ba	four
99.82%	0.00%	1	b^m	portland
99.82%	0.00%	1	b^m	a junk room
99.82%	0.00%	1	b	and uh yep
99.83%	0.00%	1	b^m	no more huh
99.83%	0.00%	1	b	that is right
99.83%	0.00%	1	bk	i see uh
99.83%	0.00%	1	b^m	next weekend
99.84%	0.00%	1	ba	uh ha
99.84%	0.00%	1	b^m	it 's similar
99.84%	0.00%	1	bf	in other words
99.84%	0.00%	1	ba	oh sounds pretty
99.84%	0.00%	1	ba	unpredictable
99.85%	0.00%	1	bh	oh are they
99.85%	0.00%	1	br	both
99.85%	0.00%	1	bk	huh
99.85%	0.00%	1	bf	it is hard
99.86%	0.00%	1	bf	you do exercise
99.86%	0.00%	1	br	locust hill
99.86%	0.00%	1	bf	empowerment issues
99.86%	0.00%	1	bf	just kind of
99.86%	0.00%	1	ba	that is wonderful
99.87%	0.00%	1	bf	talk too long
99.87%	0.00%	1	bk	new york
99.87%	0.00%	1	ba	guess so
99.87%	0.00%	1	b^m	johnny elway
99.88%	0.00%	1	bh	you did n't
99.88%	0.00%	1	bh	oh it was
99.88%	0.00%	1	ba	lord
99.88%	0.00%	1	b	oh he is
99.88%	0.00%	1	b^m	uh mission
99.89%	0.00%	1	br	criminal courts
99.89%	0.00%	1	b^m	or two days
99.89%	0.00%	1	ba	the devastation
99.89%	0.00%	1	bk	uh oh
99.90%	0.00%	1	b	ye- yeah
99.90%	0.00%	1	b	substantially you know
99.90%	0.00%	1	ba	oh gracious
99.90%	0.00%	1	bf	compile more statistics
99.90%	0.00%	1	b	okay carol
99.91%	0.00%	1	br	argentina
99.91%	0.00%	1	b	they did
99.91%	0.00%	1	ba	you 're right
99.91%	0.00%	1	b^m	three dogs
99.92%	0.00%	1	ba	it certainly is
99.92%	0.00%	1	b	one 's four
99.92%	0.00%	1	b^m	garth brooks
99.92%	0.00%	1	bf	it 's nearly
99.92%	0.00%	1	b^m	public relations
99.93%	0.00%	1	bf	yearly fee
99.93%	0.00%	1	ba	oh how interesting
99.93%	0.00%	1	b	oh that
99.93%	0.00%	1	b	uh you know
99.94%	0.00%	1	bf	wastes your future
99.94%	0.00%	1	ba	that was good
99.94%	0.00%	1	b^m	clothes
99.94%	0.00%	1	ba	good night
99.94%	0.00%	1	br	beg your pardon
99.95%	0.00%	1	bf	clyde the iguana
99.95%	0.00%	1	ba	that 's interesti
99.95%	0.00%	1	br	in new mexico
99.95%	0.00%	1	b	oh o-
99.96%	0.00%	1	b^m	the news
99.96%	0.00%	1	b	oprah
99.96%	0.00%	1	bf	immediately
99.96%	0.00%	1	ba	how fine
99.96%	0.00%	1	b^m	secret storm
99.97%	0.00%	1	b	i mean
99.97%	0.00%	1	bk	oh ok
99.97%	0.00%	1	b^m	houston
99.97%	0.00%	1	b^m	kilgore
99.98%	0.00%	1	ba	well jeez
99.98%	0.00%	1	b	she went
99.98%	0.00%	1	ba	those are nice
99.98%	0.00%	1	bk	good
99.98%	0.00%	1	ba	i imagine mumblex
99.99%	0.00%	1	bf	for business
99.99%	0.00%	1	b	okay mumblex
99.99%	0.00%	1	bh	is it real
99.99%	0.00%	1	b^m	money instead
100.00%	0.00%	1	br	oh tom grieve
100.00%	0.00%	1	b^m	two years
100.00%	0.00%	1	b^m	rutherford
