aggregated	self	category	text
97.74%	0.00%	1	ba	correct
97.74%	0.00%	1	ba	that is wonderful
97.75%	0.00%	1	ba	oh oh dear
97.75%	0.00%	1	b^m	in germany
97.75%	0.00%	1	ba	that 's awful well
97.75%	0.00%	1	b^m	oh corpus
97.75%	0.00%	1	ba	that 's so good
97.76%	0.00%	1	b^m	home school
97.76%	0.00%	1	ba	and gosh
97.76%	0.00%	1	ba	it 's pretty cool
97.76%	0.00%	1	ba	immediately
97.77%	0.00%	1	ba	well then
97.77%	0.00%	1	bf	so you do that
97.77%	0.00%	1	bk	um okay
97.77%	0.00%	1	bh	oh does it
97.77%	0.00%	1	ba	shoot
97.78%	0.00%	1	b^m	acoustics uh
97.78%	0.00%	1	bh	oh you were
97.78%	0.00%	1	b	great
97.78%	0.00%	1	ba	well that 's okay
97.78%	0.00%	1	b^m	in high school
97.79%	0.00%	1	br	oh you can
97.79%	0.00%	1	bf	telephone
97.79%	0.00%	1	b^m	you own the company
97.79%	0.00%	1	ba	they do
97.80%	0.00%	1	ba	so you 're right
97.80%	0.00%	1	b	on your commodore
97.80%	0.00%	1	bf	i see
97.80%	0.00%	1	b^m	best friends now
97.80%	0.00%	1	ba	lord
97.81%	0.00%	1	b^m	damp
97.81%	0.00%	1	b^m	houston
97.81%	0.00%	1	ba	especially for these times
97.81%	0.00%	1	ba	oh is n't that
97.82%	0.00%	1	bf	eight point five
97.82%	0.00%	1	ba	oh cute
97.82%	0.00%	1	ba	wow uh-huh
97.82%	0.00%	1	br	about music
97.82%	0.00%	1	bf	with those degrees
97.83%	0.00%	1	br	where
97.83%	0.00%	1	bh	what a change huh
97.83%	0.00%	1	bf	wastes your future
97.83%	0.00%	1	ba	you got it
97.83%	0.00%	1	ba	gee-
97.84%	0.00%	1	b	social changes
97.84%	0.00%	1	bf	you 've just retired
97.84%	0.00%	1	ba	oh good heavens
97.84%	0.00%	1	b^m	thirty-one
97.85%	0.00%	1	bh	is n't it though
97.85%	0.00%	1	br	my voting experience
97.85%	0.00%	1	ba	that sounds real good
97.85%	0.00%	1	bf	bad knee
97.85%	0.00%	1	ba	well that 's amazing
97.86%	0.00%	1	ba	you might be right
97.86%	0.00%	1	b	i guess so
97.86%	0.00%	1	ba	oh hey
97.86%	0.00%	1	ba	that 's very nice
97.87%	0.00%	1	bf	and they
97.87%	0.00%	1	ba	that sounds pretty good
97.87%	0.00%	1	ba	oh for goodness sakes
97.87%	0.00%	1	b^m	stick shift
97.87%	0.00%	1	b	uh-huh you know
97.88%	0.00%	1	b^m	ok
97.88%	0.00%	1	ba	that is pretty good
97.88%	0.00%	1	ba	awesome
97.88%	0.00%	1	ba	oh gol
97.88%	0.00%	1	b^m	garth brooks
97.89%	0.00%	1	b^m	small p c -s
97.89%	0.00%	1	ba	oh how exiting
97.89%	0.00%	1	b^m	twenty thousand
97.89%	0.00%	1	bf	it 's nearly
97.90%	0.00%	1	b^m	secret storm
97.90%	0.00%	1	b^m	thelma and louise
97.90%	0.00%	1	b^m	keeping fish mumblex
97.90%	0.00%	1	b	enj enjoying it
97.90%	0.00%	1	b	and right
97.91%	0.00%	1	br	do what now
97.91%	0.00%	1	ba	woo
97.91%	0.00%	1	bk	pennsylvania
97.91%	0.00%	1	bk	two
97.92%	0.00%	1	b^m	part time
97.92%	0.00%	1	bf	right down there
97.92%	0.00%	1	bf	in environmental engineering uh
97.92%	0.00%	1	bf	that 's hard
97.92%	0.00%	1	bf	have a lawyer background
97.93%	0.00%	1	ba	but that is true
97.93%	0.00%	1	br	you you what
97.93%	0.00%	1	ba	oh my heavens
97.93%	0.00%	1	bh	oh you 're not
97.93%	0.00%	1	ba	well that sounds fantastic
97.94%	0.00%	1	ba	i i can understand
97.94%	0.00%	1	ba	wow that 's good
97.94%	0.00%	1	bk	well that 's okay
97.94%	0.00%	1	ba	uh that 's true
97.95%	0.00%	1	ba	oh my word lynn
97.95%	0.00%	1	b	um i see
97.95%	0.00%	1	b	and so okay
97.95%	0.00%	1	bf	so the convenience
97.95%	0.00%	1	b	so um yeah
97.96%	0.00%	1	bh	can you really
97.96%	0.00%	1	ba	amazing
97.96%	0.00%	1	br	do i have kids
97.96%	0.00%	1	b^m	or two days
97.97%	0.00%	1	ba	um sounds good
97.97%	0.00%	1	ba	uh very good
97.97%	0.00%	1	b^m	arlington
97.97%	0.00%	1	ba	oh bless her heart
97.97%	0.00%	1	ba	it
97.98%	0.00%	1	b^m	yet
97.98%	0.00%	1	br	step classes
97.98%	0.00%	1	b^m	schnauzers
97.98%	0.00%	1	b	golf
97.98%	0.00%	1	ba	that 's good stuff
97.99%	0.00%	1	bh	has it
97.99%	0.00%	1	ba	oh that 's incredible
97.99%	0.00%	1	ba	lucky you
97.99%	0.00%	1	b^m	mustang g t -s
98.00%	0.00%	1	b^m	raleigh
98.00%	0.00%	1	ba	it is i imagine
98.00%	0.00%	1	b	um um um um
98.00%	0.00%	1	b^m	dukakis
98.00%	0.00%	1	b	well then yes
98.01%	0.00%	1	br	pittsburgh
98.01%	0.00%	1	ba	that 's fascinating
98.01%	0.00%	1	ba	oh my golly
98.01%	0.00%	1	ba	oh it 's amazing
98.02%	0.00%	1	b	you are
98.02%	0.00%	1	bh	do they really
98.02%	0.00%	1	ba	sure you do
98.02%	0.00%	1	bf	the greatest hits
98.02%	0.00%	1	ba	this is really neat
98.03%	0.00%	1	b^m	watchi
98.03%	0.00%	1	b^m	in the bot- mumblex
98.03%	0.00%	1	ba	that 's very smart
98.03%	0.00%	1	ba	uh i can understand
98.03%	0.00%	1	b	oh yeah mumblex
98.04%	0.00%	1	bh	is is it
98.04%	0.00%	1	ba	they 're great
98.04%	0.00%	1	ba	this is so funny
98.04%	0.00%	1	b^m	by jane austen
98.05%	0.00%	1	bf	people
98.05%	0.00%	1	ba	but golly
98.05%	0.00%	1	br	locust hill
98.05%	0.00%	1	b^m	pinks and greens
98.05%	0.00%	1	br	kentucky
98.06%	0.00%	1	b^m	a dollar oh well
98.06%	0.00%	1	b^m	to do
98.06%	0.00%	1	b	you know really
98.06%	0.00%	1	b	well really
98.07%	0.00%	1	b^m	not really
98.07%	0.00%	1	ba	well congratulations on that
98.07%	0.00%	1	ba	oh pretty ones
98.07%	0.00%	1	bf	so the annual fee
98.07%	0.00%	1	ba	that 'll be good
98.08%	0.00%	1	ba	they are beautiful homes
98.08%	0.00%	1	b^m	it would n't have
98.08%	0.00%	1	bd	well that 's okay
98.08%	0.00%	1	b^m	mazda
98.08%	0.00%	1	b	yeah to
98.09%	0.00%	1	ba	oh of course not
98.09%	0.00%	1	b	uh-huh well
98.09%	0.00%	1	bf	she 's out
98.09%	0.00%	1	ba	oh right
98.10%	0.00%	1	b^m	local you mean
98.10%	0.00%	1	b^m	eighteen
98.10%	0.00%	1	bf	oh the big company
98.10%	0.00%	1	b^m	very few
98.10%	0.00%	1	b^m	a mutt
98.11%	0.00%	1	ba	oh those are fun
98.11%	0.00%	1	ba	gosh twelve
98.11%	0.00%	1	ba	well that great
98.11%	0.00%	1	ba	huh that 's disturbing
98.12%	0.00%	1	bk	oh ok-
98.12%	0.00%	1	ba	it figures
98.12%	0.00%	1	ba	pretty funny
98.12%	0.00%	1	ba	that does sound good
98.12%	0.00%	1	ba	well that 's tremendous
98.13%	0.00%	1	ba	it sounds nice uh
98.13%	0.00%	1	ba	naturally
98.13%	0.00%	1	ba	that 'd be neat
98.13%	0.00%	1	ba	probably not
98.13%	0.00%	1	ba	those are nice
98.14%	0.00%	1	ba	i can
98.14%	0.00%	1	ba	well how fun
98.14%	0.00%	1	ba	um how weird
98.14%	0.00%	1	ba	you 're right
98.15%	0.00%	1	bf	you would
98.15%	0.00%	1	b^m	one child
98.15%	0.00%	1	ba	ooh yeah
98.15%	0.00%	1	br	unsweetened
98.15%	0.00%	1	b^m	all different
98.16%	0.00%	1	bf	it is hard
98.16%	0.00%	1	bf	just change our priorities
98.16%	0.00%	1	bf	oh that one
98.16%	0.00%	1	b^m	eleven
98.17%	0.00%	1	ba	bless their hearts
98.17%	0.00%	1	bf	suburban tract
98.17%	0.00%	1	ba	i 'd think so
98.17%	0.00%	1	ba	it 's pretty neat
98.17%	0.00%	1	b	already
98.18%	0.00%	1	ba	um gosh
98.18%	0.00%	1	ba	how cute
98.18%	0.00%	1	ba	exact- exactly
98.18%	0.00%	1	ba	well now
98.18%	0.00%	1	ba	know how that goes
98.19%	0.00%	1	bf	clarence thomas or
98.19%	0.00%	1	ba	that 's right yeah
98.19%	0.00%	1	b^m	care provider
98.19%	0.00%	1	b^m	coarse kind of test
98.20%	0.00%	1	ba	i would think it
98.20%	0.00%	1	bd	not always
98.20%	0.00%	1	bf	the owner 's responsibility
98.20%	0.00%	1	ba	that 's pretty wild
98.20%	0.00%	1	bd	oh well
98.21%	0.00%	1	b	each individual child
98.21%	0.00%	1	b^m	silverado
98.21%	0.00%	1	bf	on the out
98.21%	0.00%	1	ba	that should be nice
98.22%	0.00%	1	bf	just then
98.22%	0.00%	1	b	she went
98.22%	0.00%	1	b^m	a white powder
98.22%	0.00%	1	b^m	that one
98.22%	0.00%	1	bf	oh another west texan
98.23%	0.00%	1	bh	oh that recent
98.23%	0.00%	1	br	dye mound
98.23%	0.00%	1	b^m	ferraro
98.23%	0.00%	1	b	keep it damp
98.23%	0.00%	1	bf	had somehow gotten in
98.24%	0.00%	1	ba	thank you
98.24%	0.00%	1	ba	my god
98.24%	0.00%	1	br	because it 's what
98.24%	0.00%	1	bk	oh very good
98.25%	0.00%	1	ba	um that 's smart
98.25%	0.00%	1	ba	oh sweet
98.25%	0.00%	1	b^m	huh-uh
98.25%	0.00%	1	bk	well okay uh
98.25%	0.00%	1	br	two hundred fifty
98.26%	0.00%	1	b^m	pappasito 's
98.26%	0.00%	1	b	yep uh
98.26%	0.00%	1	ba	huh interesting
98.26%	0.00%	1	b	virginia
98.27%	0.00%	1	b^m	problem
98.27%	0.00%	1	ba	oh my really
98.27%	0.00%	1	ba	not after wor-
98.27%	0.00%	1	bk	oh wow
98.27%	0.00%	1	ba	well how nice
98.28%	0.00%	1	b^m	beets
98.28%	0.00%	1	b	it has n't mumblex
98.28%	0.00%	1	bf	the grass
98.28%	0.00%	1	b	but um
98.28%	0.00%	1	bf	you do exercise
98.29%	0.00%	1	bh	yes
98.29%	0.00%	1	ba	that 's really scary
98.29%	0.00%	1	br	is that true
98.29%	0.00%	1	ba	the devastation
98.30%	0.00%	1	ba	aye
98.30%	0.00%	1	ba	oh well great
98.30%	0.00%	1	bf	so it 's sociology
98.30%	0.00%	1	br	hot
98.30%	0.00%	1	ba	oh it 's tough
98.31%	0.00%	1	ba	how strange
98.31%	0.00%	1	ba	wow that 's interesting
98.31%	0.00%	1	ba	oh what fun
98.31%	0.00%	1	b^m	with computers
98.32%	0.00%	1	b^m	okay uh
98.32%	0.00%	1	b^m	running water
98.32%	0.00%	1	b^m	grammar
98.32%	0.00%	1	ba	that speaks
98.32%	0.00%	1	b	central
98.33%	0.00%	1	ba	sure you know
98.33%	0.00%	1	bk	o- okay
98.33%	0.00%	1	ba	thank goodness
98.33%	0.00%	1	ba	good lord
98.33%	0.00%	1	bf	why bother
98.34%	0.00%	1	b	oops
98.34%	0.00%	1	bd	no thanks
98.34%	0.00%	1	b^m	two and two
98.34%	0.00%	1	ba	well i bet you
98.35%	0.00%	1	b^m	rap
98.35%	0.00%	1	ba	oh durn
98.35%	0.00%	1	ba	oh oh my
98.35%	0.00%	1	b^m	in science
98.35%	0.00%	1	bf	just change our p-
98.36%	0.00%	1	b	uh you know
98.36%	0.00%	1	ba	um that 's interesting
98.36%	0.00%	1	bf	to operate yeah
98.36%	0.00%	1	b^m	centimeters
98.37%	0.00%	1	b^m	ten
98.37%	0.00%	1	br	in our country
98.37%	0.00%	1	ba	that 's real good
98.37%	0.00%	1	bf	and cover his ears
98.37%	0.00%	1	bh	the dallas cowgirls huh
98.38%	0.00%	1	ba	ugh that is horrible
98.38%	0.00%	1	bf	right back to them
98.38%	0.00%	1	b^m	do the most good
98.38%	0.00%	1	ba	good point oh
98.38%	0.00%	1	b^m	baby
98.39%	0.00%	1	bh	oh does she
98.39%	0.00%	1	bf	and cans laying
98.39%	0.00%	1	ba	shoo i guess so
98.39%	0.00%	1	br	rolly polly what
98.40%	0.00%	1	ba	well that 's pretty
98.40%	0.00%	1	bf	it defeats the purpose
98.40%	0.00%	1	b^m	two dogs
98.40%	0.00%	1	bh	it does
98.40%	0.00%	1	ba	that 's important
98.41%	0.00%	1	b^m	i mean yeah
98.41%	0.00%	1	b^m	garland
98.41%	0.00%	1	bf	large classes
98.41%	0.00%	1	b^m	oh liberal
98.42%	0.00%	1	b^m	twelve and sixteen
98.42%	0.00%	1	b^m	every one
98.42%	0.00%	1	b^m	eighty-six
98.42%	0.00%	1	bh	is that incredible
98.42%	0.00%	1	b^m	is done
98.43%	0.00%	1	b^m	highlands
98.43%	0.00%	1	br	that 's a fish
98.43%	0.00%	1	b^m	cliff i see
98.43%	0.00%	1	b^m	my home
98.43%	0.00%	1	b	a hamster
98.44%	0.00%	1	b^m	louisiana
98.44%	0.00%	1	ba	so that sounds great
98.44%	0.00%	1	b^m	not
98.44%	0.00%	1	b^m	material things
98.45%	0.00%	1	ba	oh warm
98.45%	0.00%	1	bf	autocrossing is
98.45%	0.00%	1	b	the other world
98.45%	0.00%	1	b^m	mile a minute
98.45%	0.00%	1	bf	the blue flu
98.46%	0.00%	1	b^m	oscar
98.46%	0.00%	1	bf	every hole
98.46%	0.00%	1	b^m	two and half oh
98.46%	0.00%	1	ba	oh oh i know
98.47%	0.00%	1	b	uh i see
98.47%	0.00%	1	ba	how weird
98.47%	0.00%	1	bf	so you have
98.47%	0.00%	1	ba	oh is that right
98.47%	0.00%	1	ba	oh you 're adventurous
98.48%	0.00%	1	bf	you did it manually
98.48%	0.00%	1	b^m	oldsmobiles
98.48%	0.00%	1	ba	honestly
98.48%	0.00%	1	ba	that is funny
98.48%	0.00%	1	ba	amen
98.49%	0.00%	1	b^m	not too bad
98.49%	0.00%	1	b^m	the chinese type
98.49%	0.00%	1	ba	that 's hard
98.49%	0.00%	1	b^m	is that on tape
98.50%	0.00%	1	bf	three hours difference
98.50%	0.00%	1	bh	what a trap huh
98.50%	0.00%	1	b	infant
98.50%	0.00%	1	bf	and now he sees
98.50%	0.00%	1	b^m	vehicles
98.51%	0.00%	1	b	boy
98.51%	0.00%	1	ba	i like that
98.51%	0.00%	1	b	yeah apparently
98.51%	0.00%	1	b	my community
98.52%	0.00%	1	br	how do we usually
98.52%	0.00%	1	br	uh pardon
98.52%	0.00%	1	ba	crazy
98.52%	0.00%	1	ba	um interesting
98.52%	0.00%	1	bh	well is that right
98.53%	0.00%	1	b	true
98.53%	0.00%	1	b	oh rea-
98.53%	0.00%	1	b^m	video lectures
98.53%	0.00%	1	bf	something inexpensive
98.53%	0.00%	1	bh	five
98.54%	0.00%	1	br	b l y
98.54%	0.00%	1	b^m	young mothers or
98.54%	0.00%	1	ba	oh you bet
98.54%	0.00%	1	ba	i would say
98.55%	0.00%	1	b^m	linda
98.55%	0.00%	1	b	huh yes
98.55%	0.00%	1	ba	well that 's excellent
98.55%	0.00%	1	ba	well good deal
98.55%	0.00%	1	b	oh god
98.56%	0.00%	1	br	toronto
98.56%	0.00%	1	b	oh really oh
98.56%	0.00%	1	ba	oh how interesting
98.56%	0.00%	1	ba	unpredictable
98.57%	0.00%	1	ba	proba- we probably will
98.57%	0.00%	1	b^m	newhart
98.57%	0.00%	1	b^m	oh haiti
98.57%	0.00%	1	bh	do n't you
98.57%	0.00%	1	bh	it did
98.58%	0.00%	1	ba	that 's great too
98.58%	0.00%	1	ba	that 's not helpful
98.58%	0.00%	1	ba	i mean gee whiz
98.58%	0.00%	1	ba	tha- that 's right
98.58%	0.00%	1	bk	oh quality okay
98.59%	0.00%	1	ba	well great great
98.59%	0.00%	1	ba	oh my uh-huh
98.59%	0.00%	1	bf	common problem
98.59%	0.00%	1	bd	not really
98.60%	0.00%	1	bf	just the form
98.60%	0.00%	1	b	interesting
98.60%	0.00%	1	ba	no joke
98.60%	0.00%	1	ba	this is great
98.60%	0.00%	1	ba	congratulations
98.61%	0.00%	1	b	okay leslie
98.61%	0.00%	1	bf	you have two
98.61%	0.00%	1	bf	that still does it
98.61%	0.00%	1	b^m	chop them up
98.62%	0.00%	1	bk	oh oh oh okay
98.62%	0.00%	1	ba	it 's not good
98.62%	0.00%	1	ba	uh i hope so
98.62%	0.00%	1	ba	it would be pretty
98.62%	0.00%	1	bf	to report it
98.63%	0.00%	1	b^m	bonus time
98.63%	0.00%	1	ba	but that 's great
98.63%	0.00%	1	br	oh a what
98.63%	0.00%	1	b^m	every morning
98.63%	0.00%	1	bf	registering our garbage
98.64%	0.00%	1	ba	you 're lucky
98.64%	0.00%	1	b	usually yeah
98.64%	0.00%	1	b^m	sherman texas oh
98.64%	0.00%	1	bf	downside um uh well
98.65%	0.00%	1	b	laurie all right
98.65%	0.00%	1	bh	it did huh
98.65%	0.00%	1	b	okay oh
98.65%	0.00%	1	ba	oh booey
98.65%	0.00%	1	bh	oh does he really
98.66%	0.00%	1	ba	i guess so
98.66%	0.00%	1	ba	that is lucky
98.66%	0.00%	1	ba	gorgeous
98.66%	0.00%	1	b^m	backpacking
98.67%	0.00%	1	b	oh i know it
98.67%	0.00%	1	ba	that should be fun
98.67%	0.00%	1	ba	huh that 's terrible
98.67%	0.00%	1	b^m	drug test
98.67%	0.00%	1	bh	does he
98.68%	0.00%	1	b	you did
98.68%	0.00%	1	ba	but uh gee
98.68%	0.00%	1	b^m	lawn
98.68%	0.00%	1	ba	for goodness sakes
98.68%	0.00%	1	b	okay carol
98.69%	0.00%	1	b^m	scandalous
98.69%	0.00%	1	ba	whoa okay
98.69%	0.00%	1	b	you know right
98.69%	0.00%	1	ba	how fine
98.70%	0.00%	1	br	they call them flags
98.70%	0.00%	1	bf	he may be retired
98.70%	0.00%	1	ba	what
98.70%	0.00%	1	ba	forget it
98.70%	0.00%	1	ba	but that 's cool
98.71%	0.00%	1	bf	uh into savings
98.71%	0.00%	1	ba	oh that 's horrible
98.71%	0.00%	1	ba	i see that
98.71%	0.00%	1	bf	just your qualifications
98.72%	0.00%	1	bf	oh you 're
98.72%	0.00%	1	bk	new york
98.72%	0.00%	1	b^m	off
98.72%	0.00%	1	bf	and that was it
98.72%	0.00%	1	ba	that 's really cute
98.73%	0.00%	1	b^m	pork barrel politics
98.73%	0.00%	1	bh	was she
98.73%	0.00%	1	b^m	clothes
98.73%	0.00%	1	bk	minnesota
98.73%	0.00%	1	b	no uh
98.74%	0.00%	1	b^m	four
98.74%	0.00%	1	ba	oh terrible
98.74%	0.00%	1	ba	that 's so awful
98.74%	0.00%	1	b	but uh
98.75%	0.00%	1	b	huh okay
98.75%	0.00%	1	ba	oh gees
98.75%	0.00%	1	bf	immediately
98.75%	0.00%	1	b	ye- yeah
98.75%	0.00%	1	b^m	antibeach
98.76%	0.00%	1	b^m	three dogs
98.76%	0.00%	1	ba	i i understand that
98.76%	0.00%	1	ba	those are beautiful
98.76%	0.00%	1	b^m	oh purdue
98.77%	0.00%	1	b^m	warm
98.77%	0.00%	1	ba	um boy
98.77%	0.00%	1	b^m	salvia
98.77%	0.00%	1	ba	oh that 's marvelous
98.77%	0.00%	1	b^m	housekeeper uh-huh
98.78%	0.00%	1	br	the accuracy
98.78%	0.00%	1	bf	bet they hated that
98.78%	0.00%	1	br	life extensions
98.78%	0.00%	1	bf	fast
98.78%	0.00%	1	ba	that 's good too
98.79%	0.00%	1	ba	gee nice huh
98.79%	0.00%	1	bf	mumblex temporary
98.79%	0.00%	1	b^m	chains
98.79%	0.00%	1	bf	lab fees and all
98.80%	0.00%	1	b^m	the seville
98.80%	0.00%	1	ba	it sounds nice
98.80%	0.00%	1	bf	in in texas
98.80%	0.00%	1	ba	now that 's good
98.80%	0.00%	1	b	oh that
98.81%	0.00%	1	b^m	public relations
98.81%	0.00%	1	ba	that 's pretty nice
98.81%	0.00%	1	ba	oh okay
98.81%	0.00%	1	bh	well really
98.82%	0.00%	1	bf	and start right there
98.82%	0.00%	1	bf	so what you 're
98.82%	0.00%	1	bf	like out of nowhere
98.82%	0.00%	1	bh	three
98.82%	0.00%	1	bf	a whole fam-
98.83%	0.00%	1	bf	work
98.83%	0.00%	1	b^m	skidding control
98.83%	0.00%	1	b^m	trinity
98.83%	0.00%	1	ba	uh
98.83%	0.00%	1	br	was what
98.84%	0.00%	1	b	public school
98.84%	0.00%	1	br	oh they do mumblex
98.84%	0.00%	1	ba	i unders understand though
98.84%	0.00%	1	b^m	that
98.85%	0.00%	1	bh	oh you will
98.85%	0.00%	1	ba	i thought wow
98.85%	0.00%	1	bh	boston
98.85%	0.00%	1	b^m	oh fajitas
98.85%	0.00%	1	bk	i i see
98.86%	0.00%	1	b	then be gone
98.86%	0.00%	1	b	um all right
98.86%	0.00%	1	ba	i hear that one
98.86%	0.00%	1	bf	chris xeros
98.87%	0.00%	1	b^m	handicraft type things
98.87%	0.00%	1	ba	is n't that strange
98.87%	0.00%	1	ba	it 's really neat
98.87%	0.00%	1	ba	oh how marvelous
98.87%	0.00%	1	bf	quicker
98.88%	0.00%	1	b^m	other than nuking it
98.88%	0.00%	1	b^m	four weeks
98.88%	0.00%	1	ba	i 'll be
98.88%	0.00%	1	bf	hardware stuff huh
98.88%	0.00%	1	b	oh they are
98.89%	0.00%	1	b^m	amenities
98.89%	0.00%	1	bh	is it real
98.89%	0.00%	1	ba	oh what luck
98.89%	0.00%	1	bf	melted or just wet
98.90%	0.00%	1	ba	so that 's interesting
98.90%	0.00%	1	br	beg pardon
98.90%	0.00%	1	ba	so gosh
98.90%	0.00%	1	b	i really
98.90%	0.00%	1	b^m	hopkins
98.91%	0.00%	1	bd	just sometimes
98.91%	0.00%	1	ba	not fun
98.91%	0.00%	1	b^m	one
98.91%	0.00%	1	b^m	eat it all
98.92%	0.00%	1	b	oh backless
98.92%	0.00%	1	b^m	seventy
98.92%	0.00%	1	ba	oh my gos-
98.92%	0.00%	1	bh	oh she did
98.92%	0.00%	1	b	they did
98.93%	0.00%	1	ba	that 's interesti
98.93%	0.00%	1	bf	a blessing in disguise
98.93%	0.00%	1	bd	oh okay
98.93%	0.00%	1	bh	oh it is
98.93%	0.00%	1	ba	that would be wonderful
98.94%	0.00%	1	b^m	the yellow
98.94%	0.00%	1	b^m	a lot different
98.94%	0.00%	1	b^m	the death penalty
98.94%	0.00%	1	ba	holy mackerel
98.95%	0.00%	1	ba	well that 's understandable
98.95%	0.00%	1	ba	oh you do huh
98.95%	0.00%	1	ba	but gee
98.95%	0.00%	1	bf	just kind of
98.95%	0.00%	1	ba	oh my heaven
98.96%	0.00%	1	ba	that 's difficult
98.96%	0.00%	1	ba	imagine
98.96%	0.00%	1	br	you mean the prisons
98.96%	0.00%	1	ba	um that sounds good
98.97%	0.00%	1	ba	i would n't be
98.97%	0.00%	1	ba	i would imagine so
98.97%	0.00%	1	b^m	right here bambi
98.97%	0.00%	1	bf	a student
98.97%	0.00%	1	b^m	more fresh vegetables
98.98%	0.00%	1	b	but i mean yeah
98.98%	0.00%	1	bf	oh that was
98.98%	0.00%	1	bf	he is gone
98.98%	0.00%	1	b^m	our movie stars
98.98%	0.00%	1	ba	oh well of course
98.99%	0.00%	1	ba	boy he is
98.99%	0.00%	1	ba	uh shoot
98.99%	0.00%	1	b	but yes
98.99%	0.00%	1	bf	for business
99.00%	0.00%	1	ba	oh that is fun
99.00%	0.00%	1	bh	a switcheroo huh
99.00%	0.00%	1	b^m	the legend
99.00%	0.00%	1	b^m	die
99.00%	0.00%	1	bh	oh you 're kidding
99.01%	0.00%	1	ba	uh sounds wonderful
99.01%	0.00%	1	ba	that sounds amazing
99.01%	0.00%	1	br	southwest where
99.01%	0.00%	1	ba	how marvel
99.02%	0.00%	1	bf	adapt
99.02%	0.00%	1	b^m	texas aqua-
99.02%	0.00%	1	b^m	about fifteen miles
99.02%	0.00%	1	b^m	the air bags
99.02%	0.00%	1	bd	well no
99.03%	0.00%	1	b	huh oh well
99.03%	0.00%	1	b^m	salad bar
99.03%	0.00%	1	ba	i agree with that
99.03%	0.00%	1	ba	sounds interesting uh-huh
99.03%	0.00%	1	br	you must be what
99.04%	0.00%	1	bf	go during the day
99.04%	0.00%	1	ba	now that 's interesting
99.04%	0.00%	1	b	oh wow
99.04%	0.00%	1	ba	it can
99.05%	0.00%	1	b	and so yeah
99.05%	0.00%	1	ba	it 's right
99.05%	0.00%	1	b	oh diving
99.05%	0.00%	1	b	for doing nothing
99.05%	0.00%	1	b	hey
99.06%	0.00%	1	ba	say that good
99.06%	0.00%	1	bh	oh she was
99.06%	0.00%	1	bf	i good toe hold
99.06%	0.00%	1	ba	that sounds real interesting
99.07%	0.00%	1	bd	that happens
99.07%	0.00%	1	b	that is right
99.07%	0.00%	1	bf	so he 's
99.07%	0.00%	1	b	yeah uh uh
99.07%	0.00%	1	bf	actual names
99.08%	0.00%	1	ba	that 's pretty understandable
99.08%	0.00%	1	b^m	maybe
99.08%	0.00%	1	b^m	two boys
99.08%	0.00%	1	bf	and they were n't
99.08%	0.00%	1	b^m	stump ki- yeah
99.09%	0.00%	1	b^m	substitute teacher
99.09%	0.00%	1	b	you know like yeah
99.09%	0.00%	1	br	say what
99.09%	0.00%	1	b^m	the news
99.10%	0.00%	1	bf	when it 's time
99.10%	0.00%	1	bf	whatever you like huh
99.10%	0.00%	1	br	do i have pets
99.10%	0.00%	1	bf	fluid resistance
99.10%	0.00%	1	bf	a group party
99.11%	0.00%	1	bf	go hide from them
99.11%	0.00%	1	ba	you learn
99.11%	0.00%	1	b	fine
99.11%	0.00%	1	b^m	emmett smith
99.12%	0.00%	1	bf	to another place
99.12%	0.00%	1	b	pardon me
99.12%	0.00%	1	ba	that 's pretty steep
99.12%	0.00%	1	b^m	both
99.12%	0.00%	1	b	you
99.13%	0.00%	1	b^m	always worked
99.13%	0.00%	1	b^m	what yeah
99.13%	0.00%	1	b^m	oh uh-huh
99.13%	0.00%	1	b^m	and cheap
99.13%	0.00%	1	ba	oh wow uh
99.14%	0.00%	1	ba	hail and thunder and
99.14%	0.00%	1	ba	god i 'm envious
99.14%	0.00%	1	br	have i
99.14%	0.00%	1	b	oh why yeah
99.15%	0.00%	1	b	oh serious
99.15%	0.00%	1	b^m	dutch irises
99.15%	0.00%	1	b^m	better than nothing
99.15%	0.00%	1	ba	it it sure does
99.15%	0.00%	1	ba	oh you lucky thing
99.16%	0.00%	1	bh	oh it was
99.16%	0.00%	1	b	and uh no
99.16%	0.00%	1	bf	all allocated out
99.16%	0.00%	1	ba	oh gee-whiz
99.17%	0.00%	1	ba	must have been terrible
99.17%	0.00%	1	b	well sure
99.17%	0.00%	1	b^m	older
99.17%	0.00%	1	ba	um that sounds beautiful
99.17%	0.00%	1	bf	so communications huh
99.18%	0.00%	1	ba	i imagine it is
99.18%	0.00%	1	b^m	two kids
99.18%	0.00%	1	br	being what
99.18%	0.00%	1	b	and cheap
99.18%	0.00%	1	ba	oh yeah oh
99.19%	0.00%	1	bf	rather than
99.19%	0.00%	1	bh	it was it
99.19%	0.00%	1	ba	uh oh no
99.19%	0.00%	1	b	oh lord
99.20%	0.00%	1	ba	exac-
99.20%	0.00%	1	bf	it 's here now
99.20%	0.00%	1	bk	you are
99.20%	0.00%	1	ba	oh those people
99.20%	0.00%	1	ba	oh are you kidding
99.21%	0.00%	1	bf	the advantages
99.21%	0.00%	1	ba	oh that 's uh
99.21%	0.00%	1	b^m	mysteries
99.21%	0.00%	1	b^m	at pennsylvania
99.22%	0.00%	1	ba	you are not kidding
99.22%	0.00%	1	ba	what a shame
