aggregated	self	category	text
94.73%	0.00%	1	b^m	watchi
94.73%	0.00%	1	ba	easily
94.73%	0.00%	1	b	well yeah uh
94.74%	0.00%	1	bf	so you do n't need a personal one
94.74%	0.00%	1	bf	you need very minimum four and probably five
94.74%	0.00%	1	b^m	i mean yeah
94.74%	0.00%	1	ba	that 's a good one i like to get
94.75%	0.00%	1	b^m	the legend
94.75%	0.00%	1	bf	and you could get there
94.75%	0.00%	1	bf	ooh for those who are really cooperating
94.75%	0.00%	1	b^m	you did n't see that
94.75%	0.00%	1	b^m	oh you 're ann
94.76%	0.00%	1	ba	what an experience
94.76%	0.00%	1	b^m	at pennsylvania
94.76%	0.00%	1	bf	so what you 're
94.76%	0.00%	1	b^m	skidding control
94.76%	0.00%	1	ba	boy that would really be beneficial
94.77%	0.00%	1	ba	oh that 's neat that she 's in good health and that at that age
94.77%	0.00%	1	ba	sure enough
94.77%	0.00%	1	bh	oh you 're not
94.77%	0.00%	1	bf	that they are wanting
94.77%	0.00%	1	ba	oh my you are busy
94.78%	0.00%	1	bf	so there is n't much crossover huh
94.78%	0.00%	1	b	oh i
94.78%	0.00%	1	bf	because they they have a specific reason to do so because they themselves benefit from doing a better job
94.78%	0.00%	1	ba	huh that 's terrible
94.79%	0.00%	1	br	step classes
94.79%	0.00%	1	b	hit the bags
94.79%	0.00%	1	ba	surprise surprise
94.79%	0.00%	1	bf	so you have been playing
94.79%	0.00%	1	ba	it can
94.80%	0.00%	1	b^m	live in florida
94.80%	0.00%	1	ba	had some money in her pocket yeah
94.80%	0.00%	1	ba	goodness i 'm surprised
94.80%	0.00%	1	b	fine
94.80%	0.00%	1	b^m	what yeah
94.81%	0.00%	1	ba	that 's that 's good
94.81%	0.00%	1	bf	it defeats the purpose
94.81%	0.00%	1	bk	oh hurtle
94.81%	0.00%	1	ba	that 's great for parents to be involved
94.81%	0.00%	1	bf	so you did n't really grow up with that kind of music then
94.82%	0.00%	1	b^m	rub up against the siding uh
94.82%	0.00%	1	b^m	any day now
94.82%	0.00%	1	bf	a really good effort
94.82%	0.00%	1	ba	it
94.83%	0.00%	1	bk	oh do you
94.83%	0.00%	1	bf	and the idea that you know if he got in trouble there 's some some ways of getting out and that he does n't have to carry cash
94.83%	0.00%	1	ba	what a cute idea
94.83%	0.00%	1	ba	um interesting
94.83%	0.00%	1	ba	that 's pretty understandable
94.84%	0.00%	1	b^m	please come back to work
94.84%	0.00%	1	bf	that 'd probably be pretty interesting
94.84%	0.00%	1	ba	that helps
94.84%	0.00%	1	b^m	acid rain
94.84%	0.00%	1	ba	i 'll bet that is really good
94.85%	0.00%	1	ba	now that 's a very good suggestion
94.85%	0.00%	1	bf	well you kind of know what it 's like then
94.85%	0.00%	1	bf	so you
94.85%	0.00%	1	bf	all the checks
94.85%	0.00%	1	b	maybe
94.86%	0.00%	1	bf	oh something
94.86%	0.00%	1	b^m	other than nuking it
94.86%	0.00%	1	ba	but that 's great
94.86%	0.00%	1	br	how did i hear about it
94.87%	0.00%	1	ba	well that 's that sounds interesting
94.87%	0.00%	1	ba	oh that 's really weird
94.87%	0.00%	1	bf	raleigh durham
94.87%	0.00%	1	b^m	baby
94.87%	0.00%	1	ba	and that 's
94.88%	0.00%	1	br	so you went to what college
94.88%	0.00%	1	b	oh that
94.88%	0.00%	1	br	there 's no sales tax either
94.88%	0.00%	1	bf	you think it 's more more to society
94.88%	0.00%	1	ba	really wow
94.89%	0.00%	1	bf	not the deans and things like that
94.89%	0.00%	1	bf	so you 're you 're down you 're downtown
94.89%	0.00%	1	ba	oh that 'll be good
94.89%	0.00%	1	bf	nothing like the fresh outdoors
94.89%	0.00%	1	b^m	dutch irises
94.90%	0.00%	1	ba	wow really recent
94.90%	0.00%	1	b^m	physics
94.90%	0.00%	1	bd	learning
94.90%	0.00%	1	b^m	whatever their talents yeah
94.91%	0.00%	1	bf	the defect
94.91%	0.00%	1	b^m	late fifties
94.91%	0.00%	1	bf	so you have eight children
94.91%	0.00%	1	b^m	purdue
94.91%	0.00%	1	ba	and gee you know
94.92%	0.00%	1	bf	every hole
94.92%	0.00%	1	br	oh amarillo
94.92%	0.00%	1	b	and i 'm not sure that 's good either
94.92%	0.00%	1	bf	it was easy for him to rule out
94.92%	0.00%	1	ba	i i tell you what
94.93%	0.00%	1	bf	something that it does n't matter if it gets spit up on too
94.93%	0.00%	1	ba	well gee whiz
94.93%	0.00%	1	bf	after you retire
94.93%	0.00%	1	b^m	five bedrooms
94.93%	0.00%	1	ba	those are nice
94.94%	0.00%	1	ba	that is so frightening
94.94%	0.00%	1	ba	well we certainly found that to be true
94.94%	0.00%	1	ba	that 's pretty close
94.94%	0.00%	1	ba	that 's hard
94.95%	0.00%	1	bh	does he
94.95%	0.00%	1	b^m	pink
94.95%	0.00%	1	ba	uh oh jeez
94.95%	0.00%	1	ba	it beats memberships at some of these clubs
94.95%	0.00%	1	ba	that 's sorry
94.96%	0.00%	1	bf	oh he does n't
94.96%	0.00%	1	ba	i can i can relate to that
94.96%	0.00%	1	ba	not fun
94.96%	0.00%	1	b	one 's four
94.96%	0.00%	1	bf	you have two
94.97%	0.00%	1	bf	telephone
94.97%	0.00%	1	b^m	this is college
94.97%	0.00%	1	ba	by all means
94.97%	0.00%	1	b^m	folk music
94.97%	0.00%	1	bf	uh it did n't hurt them any
94.98%	0.00%	1	ba	once you think about it huh
94.98%	0.00%	1	bh	what time should we be there
94.98%	0.00%	1	ba	i 'm sure it is
94.98%	0.00%	1	ba	that 's the way to do it
94.99%	0.00%	1	ba	oh i bet it 's beautiful
94.99%	0.00%	1	ba	that 's extremely good
94.99%	0.00%	1	bd	but but uh not really
94.99%	0.00%	1	bh	is n't that a shame
94.99%	0.00%	1	b^m	georgia
95.00%	0.00%	1	bf	when you 're training right
95.00%	0.00%	1	ba	oh that 's that 's wonderful
95.00%	0.00%	1	bf	so you travel a lot
95.00%	0.00%	1	ba	that would be really t you know
95.00%	0.00%	1	ba	it 's a big book
95.01%	0.00%	1	ba	huh interesting story
95.01%	0.00%	1	ba	uh quite large
95.01%	0.00%	1	bf	oh so he 's really into it
95.01%	0.00%	1	b	i guess so
95.01%	0.00%	1	bf	so this is where the people have been kind of w
95.02%	0.00%	1	b^m	video lectures
95.02%	0.00%	1	b^m	rap
95.02%	0.00%	1	bh	oh she did
95.02%	0.00%	1	bk	linda
95.03%	0.00%	1	ba	you know um i know that
95.03%	0.00%	1	b^m	frank e peretti
95.03%	0.00%	1	br	i beg you pardon
95.03%	0.00%	1	b	oh d-
95.03%	0.00%	1	bf	kind of hard that way
95.04%	0.00%	1	bf	so you 've got you 've got a modem in it then
95.04%	0.00%	1	ba	you know that 's interesting
95.04%	0.00%	1	b^m	a junk room
95.04%	0.00%	1	b^m	c b s
95.04%	0.00%	1	b^m	a government
95.05%	0.00%	1	bf	so the lawyers the two lawyers are the ones that have all the information
95.05%	0.00%	1	b^m	no slacks
95.05%	0.00%	1	ba	uh that 's neat
95.05%	0.00%	1	b	keep it damp
95.05%	0.00%	1	bf	and you figured it would n't happen to you
95.06%	0.00%	1	bf	oh she had all of those types of vegetables
95.06%	0.00%	1	bf	so he listens to new wave
95.06%	0.00%	1	bf	so they wanted to make their homes there
95.06%	0.00%	1	b^m	that was about it
95.07%	0.00%	1	b^m	not not going to help
95.07%	0.00%	1	bf	so so you would favor a law which said there could not be lobbyists
95.07%	0.00%	1	b^m	off
95.07%	0.00%	1	b^m	to
95.07%	0.00%	1	bk	um okay
95.08%	0.00%	1	b^m	problem
95.08%	0.00%	1	ba	well that 's wonderful if if you can make it that way
95.08%	0.00%	1	b^m	bonus
95.08%	0.00%	1	ba	i would imagine so
95.08%	0.00%	1	bf	looks like the george town brownstone
95.09%	0.00%	1	bf	nobody 's out of a lot of trouble more than once
95.09%	0.00%	1	bf	and and consequently they 're not so motivated to get involved and make sure things happen the way they 'd like to see them happen
95.09%	0.00%	1	br	traction
95.09%	0.00%	1	bd	oh that 's silly
95.10%	0.00%	1	bf	and you have not been to europe
95.10%	0.00%	1	bh	is n't that the truth
95.10%	0.00%	1	ba	that 's a very long day for kindergartners
95.10%	0.00%	1	ba	but hey
95.10%	0.00%	1	bd	not really
95.11%	0.00%	1	bf	but you could put them in one of these cribs and then roll the crib out i guess
95.11%	0.00%	1	bf	so it 's pretty fair they 've got you slaving away
95.11%	0.00%	1	ba	oh wow gosh
95.11%	0.00%	1	br	has a little v six
95.11%	0.00%	1	b^m	amenities
95.12%	0.00%	1	ba	i can see where that would definitely hinder the problem
95.12%	0.00%	1	b^m	pork barrel politics
95.12%	0.00%	1	bf	so ei- eighty years or so
95.12%	0.00%	1	bf	uh natural disease
95.12%	0.00%	1	ba	well that 's tremendous
95.13%	0.00%	1	br	now what is uh what is uh the steamed shellfish you said
95.13%	0.00%	1	b^m	oh ten months
95.13%	0.00%	1	bf	right back to them
95.13%	0.00%	1	bf	oh your not
95.14%	0.00%	1	bf	besides well like a law or whatever
95.14%	0.00%	1	ba	uh wow mumblex
95.14%	0.00%	1	br	how do you get the edge
95.14%	0.00%	1	ba	oh that 's incredible
95.14%	0.00%	1	ba	um that sounds good
95.15%	0.00%	1	ba	you 're lucky
95.15%	0.00%	1	bf	she got you a mumblex
95.15%	0.00%	1	ba	they are really good
95.15%	0.00%	1	b	righto
95.15%	0.00%	1	ba	ooh how great
95.16%	0.00%	1	ba	that 's understandable exactly
95.16%	0.00%	1	bk	oh i see what you 're saying
95.16%	0.00%	1	bf	free you know free for them
95.16%	0.00%	1	ba	um now that 's awful
95.16%	0.00%	1	b^m	oh uh-huh
95.17%	0.00%	1	ba	that 's pretty pretty sad
95.17%	0.00%	1	bf	so you feel like your values are n't getting
95.17%	0.00%	1	ba	oh is n't that
95.17%	0.00%	1	bf	yearly fee
95.18%	0.00%	1	ba	well i 'm with you
95.18%	0.00%	1	bf	born and raised texan huh
95.18%	0.00%	1	ba	oh well that 's not bad
95.18%	0.00%	1	bf	so you really do enjoy your exercise then since your
95.18%	0.00%	1	b	huh right
95.19%	0.00%	1	br	green card
95.19%	0.00%	1	b	then be gone
95.19%	0.00%	1	bf	that we are because it 's so expensive
95.19%	0.00%	1	ba	well i 'm sure you probably are
95.19%	0.00%	1	b^m	asking
95.20%	0.00%	1	ba	that that 's real scary actually
95.20%	0.00%	1	bh	well really
95.20%	0.00%	1	ba	oh that makes a big difference
95.20%	0.00%	1	bf	like you said i do n't know how much how much they 're taking from the work force you know
95.20%	0.00%	1	bf	the blue flu or the white collar flu depending on where you work i guess
95.21%	0.00%	1	b	man
95.21%	0.00%	1	bf	he was exposed to that
95.21%	0.00%	1	ba	oh it sounds good
95.21%	0.00%	1	bf	sounds like you have a real good garden
95.22%	0.00%	1	ba	that 's that 's a good point
95.22%	0.00%	1	ba	oh there 's no doubt about it
95.22%	0.00%	1	bf	it 's one of those slippery attorneys coming in here
95.22%	0.00%	1	ba	well those things happen though
95.22%	0.00%	1	b^m	or something
95.23%	0.00%	1	bf	oh it 's a brand new book
95.23%	0.00%	1	br	what do you mean
95.23%	0.00%	1	b	you never nee even needed it
95.23%	0.00%	1	bf	um so you do n't you do n't feel that that we were um exploiting in the sense of we were benefiting
95.23%	0.00%	1	b	it may be
95.24%	0.00%	1	ba	it it certainly is
95.24%	0.00%	1	b^m	twenty-seven
95.24%	0.00%	1	ba	uh ha
95.24%	0.00%	1	ba	is n't it amazing
95.24%	0.00%	1	ba	that 's a good one right there
95.25%	0.00%	1	ba	oh man i imagine
95.25%	0.00%	1	bf	you hope that they think it 's a bug and
95.25%	0.00%	1	ba	oh my g- goodness
95.25%	0.00%	1	bf	but you 're going to look nice for the kids
95.26%	0.00%	1	br	mean the the the management they get rid of
95.26%	0.00%	1	ba	well that 's well that 's funny
95.26%	0.00%	1	bh	an eel
95.26%	0.00%	1	br	two hundred fifty
95.26%	0.00%	1	bf	he may be retired
95.27%	0.00%	1	ba	oh now that 's neat
95.27%	0.00%	1	bf	uh um so long as it 's their possession
95.27%	0.00%	1	ba	oh is n't that great
95.27%	0.00%	1	bf	well anyways you guys only get a penny a can
95.27%	0.00%	1	ba	oh how interesting
95.28%	0.00%	1	b	yes uh
95.28%	0.00%	1	bf	or you know plead insanity
95.28%	0.00%	1	b^m	frank e
95.28%	0.00%	1	b^m	thirty-three
95.28%	0.00%	1	bf	so it it makes you feel like they 're uh wanting you to take their opinion
95.29%	0.00%	1	ba	the could be nice
95.29%	0.00%	1	b^m	and do the dishes
95.29%	0.00%	1	br	locust hill
95.29%	0.00%	1	ba	that would n't be too bad
95.30%	0.00%	1	bf	well so they evacuated it
95.30%	0.00%	1	bh	oh you will
95.30%	0.00%	1	bf	just kind of
95.30%	0.00%	1	b^m	same thing
95.30%	0.00%	1	b^m	very much
95.31%	0.00%	1	ba	bless their hearts
95.31%	0.00%	1	bh	i mean what basis you know of comparison do we have really
95.31%	0.00%	1	bh	do n't they
95.31%	0.00%	1	ba	i imagine mumblex
95.31%	0.00%	1	b	your dress
95.32%	0.00%	1	b	okay oh
95.32%	0.00%	1	bf	so they have n-
95.32%	0.00%	1	bf	you were a bookkeeper
95.32%	0.00%	1	b	bear bait
95.32%	0.00%	1	b^m	out of each child
95.33%	0.00%	1	ba	i had never really thought of it that way
95.33%	0.00%	1	bk	okay john
95.33%	0.00%	1	bf	your whole family can enjoy those hobbies
95.33%	0.00%	1	bf	the bolts were were eng- were were english then
95.34%	0.00%	1	bf	talk too long
95.34%	0.00%	1	b^m	running water
95.34%	0.00%	1	bk	oh we both do
95.34%	0.00%	1	ba	well i think that 's great
95.34%	0.00%	1	bf	so they all know it
95.35%	0.00%	1	b	ye- yeah
95.35%	0.00%	1	bf	rather than work with it
95.35%	0.00%	1	bf	that one person
95.35%	0.00%	1	bf	cheering you on and stuff
95.35%	0.00%	1	bf	they just go across the boat and get a and tie it up and go in huh
95.36%	0.00%	1	ba	it certainly is
95.36%	0.00%	1	br	do i have kids
95.36%	0.00%	1	ba	uh that 's a good idea
95.36%	0.00%	1	bh	it did
95.36%	0.00%	1	bf	so you have n't really uh dealt with that in a sense
95.37%	0.00%	1	bf	too transit
95.37%	0.00%	1	b^m	wild flowers
95.37%	0.00%	1	bf	warm rain
95.37%	0.00%	1	bf	just hoping maybe he could pull
95.38%	0.00%	1	bf	against your will
95.38%	0.00%	1	b^m	expedient
95.38%	0.00%	1	ba	that 's not helpful
95.38%	0.00%	1	ba	how marvel
95.38%	0.00%	1	bf	oh the yeah the i know
95.39%	0.00%	1	b^m	vehicles
95.39%	0.00%	1	bf	oh it 's still just a pup
95.39%	0.00%	1	bf	it sounds like you have a baby there
95.39%	0.00%	1	ba	pretty sad
95.39%	0.00%	1	bf	and they always have surprises for you
95.40%	0.00%	1	br	to what avis
95.40%	0.00%	1	bk	it 's oh oh south and okay
95.40%	0.00%	1	ba	that yuppie kind of crowd yeah
95.40%	0.00%	1	bf	oh five years ago
95.40%	0.00%	1	ba	and uh um so gee
95.41%	0.00%	1	ba	that 's the way it goes
95.41%	0.00%	1	ba	oh i bet it is
95.41%	0.00%	1	bf	you are not beating rugs
95.41%	0.00%	1	ba	he used a classic illusion
95.42%	0.00%	1	ba	maybe so
95.42%	0.00%	1	bf	and the benefits you 're getting for that hundred dollars a semester uh you you never use because you just use your wife 's
95.42%	0.00%	1	bk	oh i see i see what you 're saying
95.42%	0.00%	1	bf	so in other words that 's the way they force
95.42%	0.00%	1	ba	well tha- that 's good
95.43%	0.00%	1	ba	ugh that is horrible
95.43%	0.00%	1	ba	well i did n't know that
95.43%	0.00%	1	ba	i see that
95.43%	0.00%	1	b^m	kilgore
95.43%	0.00%	1	bf	if it does not go quite quite right
95.44%	0.00%	1	bf	it 's a package deal
95.44%	0.00%	1	ba	oh good heavens
95.44%	0.00%	1	bh	it has
95.44%	0.00%	1	bf	so you do n't think necessarily they do n't have a complete grasp yet
95.44%	0.00%	1	ba	for heaven 's sake
95.45%	0.00%	1	ba	that sounds like a good idea
95.45%	0.00%	1	bf	go over there and rebuild all those
95.45%	0.00%	1	ba	well that 's real good
95.45%	0.00%	1	ba	that 's true well
95.46%	0.00%	1	bf	something inexpensive
95.46%	0.00%	1	ba	thank goodness
95.46%	0.00%	1	bk	i can see that
95.46%	0.00%	1	br	oh you can
95.46%	0.00%	1	bf	sounds like you have a little one there
95.47%	0.00%	1	ba	oh oh that 's great
95.47%	0.00%	1	ba	i like that
95.47%	0.00%	1	bf	more people want to come back again
95.47%	0.00%	1	b^m	it is temporary
95.47%	0.00%	1	ba	unfortunately that 's probably true
95.48%	0.00%	1	ba	well that 's great to know
95.48%	0.00%	1	ba	and that 's pretty fun
95.48%	0.00%	1	ba	oh you 're adventurous
95.48%	0.00%	1	b	like sitting in your living room
95.48%	0.00%	1	ba	you are not kidding
95.49%	0.00%	1	ba	that 's a really pretty area too
95.49%	0.00%	1	bf	so that 's really not roughing it so much
95.49%	0.00%	1	bf	so they would just pick whatever issue kind of was at a
95.49%	0.00%	1	b	food
95.50%	0.00%	1	b^m	you never know
95.50%	0.00%	1	ba	of course um
95.50%	0.00%	1	b^m	stump ki- yeah
95.50%	0.00%	1	bf	and stress disorders and things like that
95.50%	0.00%	1	bf	continuance
95.51%	0.00%	1	bf	different ethnic groups
95.51%	0.00%	1	bf	uh so they were suing to get it back
95.51%	0.00%	1	ba	guess so
95.51%	0.00%	1	ba	that 's a problem
95.51%	0.00%	1	b^m	you do have a separate area
95.52%	0.00%	1	b^m	new jersey
95.52%	0.00%	1	bh	why get rid of him now
95.52%	0.00%	1	bf	uh so that way it kind of forces you to recycle
95.52%	0.00%	1	bf	past a point it does n't make any difference
95.52%	0.00%	1	ba	and that 's a problem
95.53%	0.00%	1	bk	pennsylvania
95.53%	0.00%	1	bf	like apple pie in america
95.53%	0.00%	1	bf	it sounds like you might too
95.53%	0.00%	1	bf	so you 've got thousands of dollars or so
95.54%	0.00%	1	ba	sure you do
95.54%	0.00%	1	ba	it was n't bad
95.54%	0.00%	1	bf	oh the calculators you mean
95.54%	0.00%	1	ba	that is excellent
95.54%	0.00%	1	ba	oh i bet it
95.55%	0.00%	1	bf	that 'll come
95.55%	0.00%	1	ba	oh that 's it
95.55%	0.00%	1	b	central
95.55%	0.00%	1	bf	so you could tell
95.55%	0.00%	1	ba	what
95.56%	0.00%	1	b	i 'll bet it is
95.56%	0.00%	1	ba	oh that makes sense
95.56%	0.00%	1	ba	that sound like just an excellent solution
95.56%	0.00%	1	ba	oh that 's that 's good
95.56%	0.00%	1	ba	oh that sounds really good
95.57%	0.00%	1	bf	you did it manually
95.57%	0.00%	1	ba	oh it 's terrible
95.57%	0.00%	1	b^m	keeping fish mumblex
95.57%	0.00%	1	ba	uh strange
95.58%	0.00%	1	ba	well that 's the way to do it though
95.58%	0.00%	1	b^m	for the sch- for the kids
95.58%	0.00%	1	bf	see what we can come up with
95.58%	0.00%	1	br	a tent
95.58%	0.00%	1	b^m	oh four
95.59%	0.00%	1	ba	goll-
95.59%	0.00%	1	bh	wow eight kids
95.59%	0.00%	1	ba	that 's a good joke
95.59%	0.00%	1	ba	oh that that would be wonderful
95.59%	0.00%	1	bf	uh a stump killer
95.60%	0.00%	1	ba	oh they 're great are n't they
95.60%	0.00%	1	bh	have they
95.60%	0.00%	1	bf	then you 're not getting to spend as much time with at home
95.60%	0.00%	1	ba	that gravity factor
95.60%	0.00%	1	ba	that 's that 's that 's that 's very good
95.61%	0.00%	1	b^m	my green beans
95.61%	0.00%	1	bf	so there 's lots to do
95.61%	0.00%	1	bf	so there has been some flooding
95.61%	0.00%	1	bf	too many chiefs and not enough indians
95.62%	0.00%	1	ba	huh it really is
95.62%	0.00%	1	ba	i 'll bet you did
95.62%	0.00%	1	ba	it 's so uh okay very good
95.62%	0.00%	1	ba	shoot
95.62%	0.00%	1	ba	congratulations
95.63%	0.00%	1	ba	i can
95.63%	0.00%	1	bf	so it 's really up north in the country really mumblex
95.63%	0.00%	1	bh	uh you 're a red sox fan too
95.63%	0.00%	1	bh	but what is it worth
95.63%	0.00%	1	ba	i agree with that
95.64%	0.00%	1	b^m	for the machine
95.64%	0.00%	1	ba	oh i understand that
95.64%	0.00%	1	bf	that 's the hard part right
95.64%	0.00%	1	b^m	twenty-eight
95.64%	0.00%	1	ba	well that sounds like a pretty good project
95.65%	0.00%	1	b^m	the china more
95.65%	0.00%	1	b	both
95.65%	0.00%	1	ba	much stronger
95.65%	0.00%	1	ba	well that sounds like you have really
95.66%	0.00%	1	ba	well that sounds really neat
95.66%	0.00%	1	ba	so that 's that 's really neat
95.66%	0.00%	1	ba	oh that 's a shame
95.66%	0.00%	1	ba	well it sounds good
95.66%	0.00%	1	bf	they think it 's fun
95.67%	0.00%	1	bf	you are too tired
95.67%	0.00%	1	bf	as opposed to the corporat insurance paying the bills
95.67%	0.00%	1	ba	that does soun that 's sound really good
95.67%	0.00%	1	ba	believe me i understand
95.67%	0.00%	1	br	down here the grass
95.68%	0.00%	1	ba	oh well that sounds like fun too
95.68%	0.00%	1	ba	it sounds pretty good
95.68%	0.00%	1	ba	that 's something
95.68%	0.00%	1	ba	well that 's pretty temperate
95.68%	0.00%	1	ba	lord
95.69%	0.00%	1	b^m	three weeks
95.69%	0.00%	1	b	enj enjoying it
95.69%	0.00%	1	bf	like out of nowhere
95.69%	0.00%	1	ba	that 's not
95.70%	0.00%	1	b	it has n't mumblex
95.70%	0.00%	1	ba	that is really sad
95.70%	0.00%	1	ba	well that 's great that you all can work that out
95.70%	0.00%	1	bk	oh se-
95.70%	0.00%	1	ba	well it sounds like a good buy
95.71%	0.00%	1	ba	oh gosh bless your heart
95.71%	0.00%	1	bf	a train of cats running around
95.71%	0.00%	1	ba	that does n't
95.71%	0.00%	1	ba	that 's interesting uh-huh
95.71%	0.00%	1	bf	and you get you get a little more carried away with it
95.72%	0.00%	1	bf	you have you have four machines around you
95.72%	0.00%	1	bf	to operate yeah
95.72%	0.00%	1	ba	oh that does n't that sounds good
95.72%	0.00%	1	ba	i think that 's really important
95.73%	0.00%	1	b^m	highlands
95.73%	0.00%	1	b	oh i mumblex
95.73%	0.00%	1	ba	well what a wonderful thing
95.73%	0.00%	1	bf	they charged you twenty-five dollars just to tell you that huh
95.73%	0.00%	1	ba	that is wonderful
95.74%	0.00%	1	bh	is it uh
95.74%	0.00%	1	bf	it did n't do you any good now does it
95.74%	0.00%	1	br	newspapers
95.74%	0.00%	1	b	each individual child
95.74%	0.00%	1	b^m	one parent
95.75%	0.00%	1	ba	well that 's pretty
95.75%	0.00%	1	ba	oh gees
95.75%	0.00%	1	bf	you know your your fourteen ounce steak with your potato and stuff
95.75%	0.00%	1	bf	so ugly she 's cute
95.75%	0.00%	1	b^m	salvia
95.76%	0.00%	1	ba	i 'll bet it is
95.76%	0.00%	1	bf	it 's not a big you know
95.76%	0.00%	1	bf	you knew that was it
95.76%	0.00%	1	ba	oh how pretty
95.77%	0.00%	1	ba	that 's sort of nice though
95.77%	0.00%	1	ba	understand
95.77%	0.00%	1	ba	are you really
95.77%	0.00%	1	b^m	newhart
95.77%	0.00%	1	ba	well that 's a tough
95.78%	0.00%	1	ba	that 's really cute
95.78%	0.00%	1	b	sure uh
95.78%	0.00%	1	b^m	but um right
95.78%	0.00%	1	bf	you mean she did n't appreciate all that attention
95.78%	0.00%	1	b	well sure
95.79%	0.00%	1	ba	uh shoot
95.79%	0.00%	1	b^m	five and two
95.79%	0.00%	1	bf	lunch bags
95.79%	0.00%	1	ba	gee that 's not a bad idea
95.79%	0.00%	1	b	then right
95.80%	0.00%	1	ba	that 's really interesting
95.80%	0.00%	1	b^m	about fifteen miles
95.80%	0.00%	1	b^m	fried chicken
95.80%	0.00%	1	ba	well that 's real interesting
95.81%	0.00%	1	bh	oh have they
95.81%	0.00%	1	b^m	centimeters
95.81%	0.00%	1	b	oh diving
95.81%	0.00%	1	bk	oh that 's yeah that 's okay
95.81%	0.00%	1	bf	so you 've had fish for a long time
95.82%	0.00%	1	ba	that 's pretty tough
95.82%	0.00%	1	ba	i i bet it was
95.82%	0.00%	1	bf	uh into savings
95.82%	0.00%	1	ba	that is not bad
95.82%	0.00%	1	bk	oh okay uh
95.83%	0.00%	1	bf	and that was it
95.83%	0.00%	1	b^m	coarse kind of test
95.83%	0.00%	1	b^m	for two
95.83%	0.00%	1	b	you 're stuck together
95.83%	0.00%	1	b^m	in high school
95.84%	0.00%	1	b^m	technical
95.84%	0.00%	1	b^m	care provider
95.84%	0.00%	1	ba	hail and thunder and
95.84%	0.00%	1	bf	people
95.85%	0.00%	1	ba	exac-
95.85%	0.00%	1	b	accessories
95.85%	0.00%	1	ba	probably so
95.85%	0.00%	1	b^m	do the most good
95.85%	0.00%	1	b^m	pick up
95.86%	0.00%	1	ba	and unfortunately the uh that 's that 's tough
95.86%	0.00%	1	bf	and you said this was your fi-
95.86%	0.00%	1	b^m	it 's similar
95.86%	0.00%	1	bh	what can we do about it
95.86%	0.00%	1	ba	does it oh
95.87%	0.00%	1	ba	that 's a nice area
95.87%	0.00%	1	ba	oh boy that is wonderful
95.87%	0.00%	1	b^m	internal
95.87%	0.00%	1	ba	boy that 's pretty good
95.87%	0.00%	1	ba	you 've got something going all the time
95.88%	0.00%	1	ba	gosh anyway
95.88%	0.00%	1	bf	you can relate to that
95.88%	0.00%	1	ba	oh how marvelous
95.88%	0.00%	1	ba	so that 's a lot of fun
95.89%	0.00%	1	ba	that 's actually really good
95.89%	0.00%	1	bf	measure it and get it to
95.89%	0.00%	1	ba	okay
95.89%	0.00%	1	bh	what else can you say
95.89%	0.00%	1	b^m	oh upstate
95.90%	0.00%	1	b^m	vermont
95.90%	0.00%	1	b^m	it 's just very different
95.90%	0.00%	1	bf	when it 's time
95.90%	0.00%	1	ba	so that is good
95.90%	0.00%	1	br	yes
95.91%	0.00%	1	bf	right down there
95.91%	0.00%	1	b^m	he did n't make it
95.91%	0.00%	1	ba	oh no doubt
95.91%	0.00%	1	bf	oh you do n't
95.91%	0.00%	1	b	oh that 's not bad
95.92%	0.00%	1	ba	my goodness uh
95.92%	0.00%	1	bf	traumatized for life here
95.92%	0.00%	1	b^m	h o i
95.92%	0.00%	1	bf	well you 're on the uh
95.93%	0.00%	1	bf	turned out they were n't cheeky
95.93%	0.00%	1	bf	well that 's still a pretty bi- good size band
95.93%	0.00%	1	ba	i bet it is
95.93%	0.00%	1	br	who 's who 's not very well educated
95.93%	0.00%	1	bf	so you uh change up your routes a lot and keep a ...
95.94%	0.00%	1	bf	your home is far enough away that you 're not bothered by being too close to people
95.94%	0.00%	1	bh	oh it was
95.94%	0.00%	1	ba	you know that 's that 's good
95.94%	0.00%	1	b	oh alright
95.94%	0.00%	1	bf	oh thirty-five miles each way
95.95%	0.00%	1	ba	that 's pretty steep
95.95%	0.00%	1	b	yeah uh uh
95.95%	0.00%	1	ba	oh i hate to hear that
95.95%	0.00%	1	bf	so you 're you 're with the home office now
95.95%	0.00%	1	ba	i 'd i bet
95.96%	0.00%	1	ba	a-cha
95.96%	0.00%	1	bf	or the uh you know the catholics and the protestants up in ireland
95.96%	0.00%	1	bf	so that explains wha all the uh computer assignments
95.96%	0.00%	1	bf	the ones that would kind of constitute controlled substances or something anyway
95.97%	0.00%	1	bf	it 's just a different lifestyle
95.97%	0.00%	1	br	is that what you said
95.97%	0.00%	1	bf	in other words you 're saying that w- you have to find out whether it 's premeditated or
95.97%	0.00%	1	ba	oh that is that sounds really fun
95.97%	0.00%	1	b^m	they did n't give him
95.98%	0.00%	1	bf	and the jurors just sort of
95.98%	0.00%	1	bk	w- yeah
95.98%	0.00%	1	b^m	rutherford
95.98%	0.00%	1	ba	i thought wow
95.98%	0.00%	1	bf	because it 's a macho movie
95.99%	0.00%	1	ba	well that great
